Nomre,Puntuacion,Clasificacion Edad,Desarrollador,Distribuidor,Géneros,Plataforma,Precio,Consola virtual,Lanzamiento en Europa:,Formato,Voces (idioma),Textos (idioma),Num Jugadores,Modo Online,Num genero,Num idioma
Batman: Arkham City Armoured Edition,--,Pegi 16,Eurocom,,Shooter en 1ª persona (FPS),,,,,,,,,,,
Abzû,8,Pegi 7,Nintendo,,Minijuegos,,,,,,,,,,,
Abyss,7.5,Pegi 3,Focus Home Interactive,,Simulación,,,,,,,,,,,
A Knight’s Quest,--,Pegi 7,Gust,,Rol (RPG),,,,,,,,,,,
BAFL – Brakes Are For Losers,7,Pegi 3,Level 5,,Rol (RPG),,,,,,,,,,,
Caveblazers,8,Pegi 7,"Compile Heart, Idea Factory",,Aventura-Estrategia-Rol (RPG),,,,,,,,,,,
Back to Bed,--,Pegi 7,Bethesda Game Studios,,Simulación,,,,,,,,,,,
BADLAND: Game of the Year Edition,7.5,Pegi 7,Little Orbit,,Acción-Rol (RPG),,,,,,,,,,,
Catherine: Full Body,--,Pegi 18,"Imagineer Co., Ltd.",,Otros,,,,,,,,,,,
Baba Is You,9,Pegi 7,2Dream,,Acción-Arcade,,,,,,,,,,,
Cave Story,8.6,Pegi 7,Digerati,,Acción-Aventura-Puzle-Shooter en 1ª persona (FPS),,,,,,,,,,,
Cat Quest II,8,Pegi 7,Blowfish Studios,,Aventura-Otros-Puzle-Simulación,,,,,,,,,,,
Castlevania: Lords of Shadow – Mirror of Fate,8,Pegi 16,Plug In Digital,,Aventura-Rol (RPG),,,,,,,,,,,
Captain Tsubasa: Rise of New Champions,--,Pegi 7,Tomorrow Corporation,,Puzle,,,,,,,,,,,
Captain Toad: Treasure Tracker,9,Pegi 3,"HAL Laboratory, Inc",,Acción-Plataformas,,,,,,,,,,,
Canvaleon,8,Pegi 7,Curve Digital,,Arcade-Conducción,,,,,,,,,,,
Awe,--,Pegi 3,7Levels,,Puzle,,,,,,,,,,,
Azure Striker Gunvolt,8,Pegi 6,TT Games,,Acción,,,,,,,,,,,
Azure Reflections,6.5,Pegi 7,n-Space,,Rol (RPG),,,,,,,,,,,
Atelier Totori ~The Adventurer of Arland~ DX,--,Pegi 12,LEVEL-5,,Acción-Rol (RPG),,,,,,,,,,,
Attack on Titan: Humanity in Chains,--,Pegi 16,Team Bondi,,Acción,,,,,,,,,,,
Atelier Shallie: Alchemists of the Dusk Sea DX,8.5,Pegi 12,Good-Feel,,Plataformas,,,,,,,,,,,
Atelier Escha & Logy: Alchemists of the Dusk Sky DX,8.5,Pegi 12,indienova,,Acción-Aventura-Otros-Puzle,,,,,,,,,,,
Atelier Ryza: Ever Darkness & the Secret Hideout,8.7,Pegi 12,Nintendo,,Acción-Plataformas,,,,,,,,,,,
Atelier Lulua ~The Scion of Arland~,8,Pegi 12,Bergsala Lightweight,,Puzle,,,,,,,,,,,
Atelier Rorona ~The Alchemist of Arland~ DX,--,Pegi 12,SEGA,,Otros-Simulación,,,,,,,,,,,
Atelier Meruru ~The Apprentice of Arland~ DX,--,Pegi 12,Nintendo,,Educativo,,,,,,,,,,,
Atelier Ayesha: The Alchemist of Dusk DX,8.5,Pegi 16,Drinkbox Studios,,Acción-Plataformas,,,,,,,,,,,
"Bury me, my Love",7,Pegi 7,Nomada Studio,,Acción-Aventura-Plataformas,,,,,,,,,,,
Burnout™ Paradise Remastered,--,Pegi 7,TT Games,,Aventura,,,,,,,,,,,
BtB: Last Captain Standing,9,Pegi 7,TT Games,,Aventura,,,,,,,,,,,
Bubble Bobble 4 Friends,--,Pegi 3,TT Games,,Acción,,,,,,,,,,,
Burly Men at Sea,6.5,Pegi 3,Traveller's Tales,,Acción-Aventura,,,,,,,,,,,
Atelier Arland series Deluxe Pack,--,Pegi 12,TT Games,,Acción-Aventura,,,,,,,,,,,
A Boy and His Blob,--,Pegi 7,TT Games,,Acción-Aventura,,,,,,,,,,,
99Seconds,6,Pegi 3,Nintendo,,Plataformas,,,,,,,,,,,
80 Days,7.2,Pegi 12,Square-Enix,,Rol (RPG),,,,,,,,,,,
7th Sector,--,Pegi 18,Askiisoft,,Acción-Arcade-Plataformas,,,,,,,,,,,
7 Billion Humans,9,Pegi 3,Rare,,Lucha,,,,,,,,,,,
3D Streets of Rage 2,9,Pegi 12,Flyhigh Works,,Puzle,,,,,,,,,,,
51 Worldwide Games,8,Pegi 12,UbiSoft,,Otros,,,,,,,,,,,
3D Solitarie,--,Pegi 3,Kairosoft,,Acción,,,,,,,,,,,
3D Classics Xevious,--,Pegi 3,Ubisoft,,Musical,,,,,,,,,,,
007 Legends,7.4,Pegi 16,Ubisoft,,Fiesta-Musical,,,,,,,,,,,
39 Days to Mars,6.5,Pegi 3,Level 5,,Deportes-Rol (RPG),,,,,,,,,,,
12 is better than 6,7.5,Pegi 12,Level 5,,Deportes-Puzle,,,,,,,,,,,
1-2-Switch,7,Pegi 12,Level 5,,Deportes-Rol (RPG),,,,,,,,,,,
Farming Simulator 20,--,Pegi 3,KOEI TECMO,,Acción-Otros,,,,,,,,,,,
Fairy Tail,8.5,Pegi 12,NEOPICA,,Simulación,,,,,,,,,,,
Fantasy Life,9,Pegi 3,Tecmo-Koei,,Acción-Aventura,,,,,,,,,,,
Fairy Fencer F: Advent Dark Force,7.6,Pegi 12,Tecmo Koei,,Acción,,,,,,,,,,,
Fallout Shelter,--,Pegi 12,NEOPICA,,Simulación,,,,,,,,,,,
Falling Skies: The Game,--,Pegi 12,Tokyo RPG Factory,,Rol (RPG),,,,,,,,,,,
Fitness Boxing,5.2,Pegi 7,Ravenscourt,,Aventura-Deportes,,,,,,,,,,,
Ghost Blade HD,7.5,Pegi 12,Firebrand,,Conducción,,,,,,,,,,,
GIGA WRECKER ALT.,8,Pegi 7,AQUIRIS,,Conducción,,,,,,,,,,,
Indie Darling Bundle Vol 2,--,Pegi 16,Little Orbit,,Aventura,,,,,,,,,,,
Infliction: Extended Cut,--,Pegi 16,Little Orbit,,Aventura,,,,,,,,,,,
Indie Gems Bundle – JRPG Edition,--,Pegi 12,Runic Games,,Acción-Aventura-Plataformas-Puzle,,,,,,,,,,,
Human Resource Machine,8,Pegi 7,Nintendo,,Plataformas,,,,,,,,,,,
Kirby Star Allies,8.5,Pegi 3,11Sheep,,Conducción,,,,,,,,,,,
Hotshot Racing,--,Pegi 7,FuRyu,,Rol (RPG),,,,,,,,,,,
inbento,--,Pegi 3,Keybol Games,,Aventura-Rol (RPG),,,,,,,,,,,
LEGO Batman 3: Beyond Gotham,--,Pegi 3,Eurocom,,Shooter en 1ª persona (FPS),,,,,,,,,,,
Left-Right: The Mansion,--,Pegi 7,Afterburn,,Deportes-Puzle,,,,,,,,,,,
Heroes of Ruin,7.3,Pegi 12,NIS America,,Aventura,,,,,,,,,,,
LBX: Little Battlers eXperience,7.5,Pegi 7,Ubisoft,,Otros,,,,,,,,,,,
Koral,7,Pegi 7,5pb.,,Rol (RPG),,,,,,,,,,,
L.A. Noire,9,Pegi 18,Filimundus,,Puzle,,,,,,,,,,,
Hellblade: Senua’s Sacrifice,8.5,Pegi 18,Eden Games,,Conducción-Simulación,,,,,,,,,,,
Kirby’s Extra Epic Yarn,8.5,Pegi 3,Eden Games,,Conducción,,,,,,,,,,,
Hello Neighbor,4,Pegi 7,Intelligent Systems,,Arcade,,,,,,,,,,,
Heaven Dust,--,Pegi 16,Rainy Night Creations,,Acción-Aventura-Plataformas,,,,,,,,,,,
Hello Neighbor Hide and Seek,--,Pegi 12,Epic Games,,Acción-Estrategia-Shooter en 3ª persona (TPS),,,,,,,,,,,
Kirby y El Pincel Arcoíris,8,Pegi 3,Wide Right Interactive,,Acción-Shooter en 3ª persona (TPS),,,,,,,,,,,
